,AKT,IRS,GSK,JNK,HSP,Jun,STAT,P38,ERK,SRC,Tyk2
EGF,20593.50333,576.17,72.83666667,34.83,59.16666667,518.5033333,13.16333333,16.66333333,68.83666667,119.3333333,488.5
TGF,13966.83667,379.5033333,44.00333333,23.66333333,36.33333333,152.0033333,11.66333333,8.496666667,55.67,75.16666667,364.5
IGF,13542.00333,272.5033333,24.50333333,17.83,39.83333333,102.3366667,9.83,9.996666667,42.00333333,50.33333333,371.8
HRG,3695.836667,565.8366667,19.67,17.83,24.16666667,141.8366667,8.496666667,9.996666667,46.50333333,55.33333333,348
HGF,21891.83667,509.3366667,73.33666667,27.33,33.5,330.17,9.33,9.996666667,50.33666667,72.5,372.3
HBEGF,16362.17,423.67,43.92,20.33,39.5,151.92,10.33,8.33,36.67,40.75,345.25
PDGF,2841.503333,570.8366667,20.67,20.99666667,41.5,277.67,8.163333333,3.33,33.33666667,51.5,315.33
Null,4218.67,474.67,27.00333333,21.49666667,35.83333333,362.5033333,3.163333333,4.663333333,46.83666667,53.33333333,344.66666
,,,,,,,,,,,336.5
,,,,,,,,,,,350
